date,PriceUSD
7/23/2012,8.531211269
7/24/2012,8.574585171
7/25/2012,8.769347273
7/26/2012,8.875765046
7/27/2012,8.891459894
7/28/2012,8.842560894
7/29/2012,8.747680659
7/30/2012,9.088317249
7/31/2012,9.320998402
08-01-2012,9.568020904
08-02-2012,10.5510397
08-03-2012,10.91586475
08-04-2012,10.91971488
08-05-2012,10.80511738
08-06-2012,10.8694465
08-07-2012,10.94127944
08-08-2012,11.0703916
08-09-2012,11.10372474
08-10-2012,11.4475688
08-11-2012,11.54253553
08-12-2012,11.59255239
8/13/2012,11.98496299
8/14/2012,12.18709748
8/15/2012,13.17007735
8/16/2012,13.45079082
8/17/2012,12.07700554
8/18/2012,11.57750716
8/19/2012,7.830621842
8/20/2012,9.979876649
8/21/2012,9.902982018
8/22/2012,9.772554579
8/23/2012,10.08865743
8/24/2012,10.59404259
8/25/2012,10.58367667
8/26/2012,10.54553074
8/27/2012,10.90038008
8/28/2012,10.93295853
8/29/2012,10.8677839
8/30/2012,10.72774884
8/31/2012,10.10240982
09-01-2012,10.00653294
09-02-2012,10.2261162
09-03-2012,10.49713431
09-04-2012,10.36400189
09-05-2012,11.02552288
09-06-2012,11.16076902
09-07-2012,11.07612234
09-08-2012,11.04327003
09-09-2012,11.06209549
09-10-2012,11.1252888
09-11-2012,11.26809296
09-12-2012,11.31528591
9/13/2012,11.38029929
9/14/2012,11.73010762
9/15/2012,11.71839342
9/16/2012,11.88691122
9/17/2012,11.90831716
9/18/2012,12.25965084
9/19/2012,12.5048541
9/20/2012,12.36717665
9/21/2012,12.33365784
9/22/2012,12.21372763
9/23/2012,12.16546303
9/24/2012,12.11358872
9/25/2012,12.18240539
9/26/2012,12.31981686
9/27/2012,12.3187514
9/28/2012,12.38145739
9/29/2012,12.40475151
9/30/2012,12.39162247
10-01-2012,12.38939516
10-02-2012,12.8072381
10-03-2012,12.95543049
10-04-2012,12.86238578
10-05-2012,12.75221942
10-06-2012,12.50512971
10-07-2012,11.87399709
10-08-2012,11.73332975
10-09-2012,11.82866344
10-10-2012,12.10918848
10-11-2012,12.06755181
10-12-2012,12.02806816
10/13/2012,11.92680383
10/14/2012,11.65057796
10/15/2012,11.90830953
10/16/2012,11.84801807
10/17/2012,11.91938816
10/18/2012,11.92593284
10/19/2012,11.7574858
10/20/2012,11.69437755
10/21/2012,11.65741141
10/22/2012,11.74107791
10/23/2012,11.70778173
10/24/2012,11.63435239
10/25/2012,10.75362982
10/26/2012,10.13061949
10/27/2012,10.4581863
10/28/2012,10.70996208
10/29/2012,10.63073898
10/30/2012,10.85932306
10/31/2012,11.14607184
11-01-2012,10.61353575
11-02-2012,10.53050364
11-03-2012,10.65074702
11-04-2012,10.79688289
11-05-2012,10.74082074
11-06-2012,10.8681975
11-07-2012,10.95409894
11-08-2012,10.89269937
11-09-2012,10.81586722
11-10-2012,10.86326044
11-11-2012,10.84184064
11-12-2012,11.03134246
11/13/2012,10.99800278
11/14/2012,10.95895242
11/15/2012,11.17510986
11/16/2012,11.70504483
11/17/2012,11.7500424
11/18/2012,11.66563103
11/19/2012,11.75052935
11/20/2012,11.69917032
11/21/2012,11.72913518
11/22/2012,12.29199795
11/23/2012,12.28028762
11/24/2012,12.4132044
11/25/2012,12.52968949
11/26/2012,12.18462624
11/27/2012,12.15927538
11/28/2012,12.33165983
11/29/2012,12.49766165
11/30/2012,12.58613893
12-01-2012,12.59238687
12-02-2012,12.49794476
12-03-2012,12.65695784
12-04-2012,13.36958958
12-05-2012,13.31275022
12-06-2012,13.47792454
12-07-2012,13.47728245
12-08-2012,13.49998441
12-09-2012,13.34651089
12-10-2012,13.49225658
12-11-2012,13.61541567
12-12-2012,13.66821364
12/13/2012,13.75525152
12/14/2012,13.60092225
12/15/2012,13.53094829
12/16/2012,13.33286108
12/17/2012,13.32007195
12/18/2012,13.27203387
12/19/2012,13.53854318
12/20/2012,13.57002703
12/21/2012,13.428968
12/22/2012,13.42721391
12/23/2012,13.31810576
12/24/2012,13.42666267
12/25/2012,13.365567
12/26/2012,13.45469902
12/27/2012,13.39930318
12/28/2012,13.45550722
12/29/2012,13.37400386
12/30/2012,13.4450138
12/31/2012,13.54555244
01-01-2013,13.33137142
01-02-2013,13.28060681
01-03-2013,13.38408115
01-04-2013,13.45172115
01-05-2013,13.45940677
01-06-2013,13.50449651
01-07-2013,13.55606166
01-08-2013,13.78035063
01-09-2013,13.82095526
01-10-2013,14.12317286
01-11-2013,14.22762112
01-12-2013,14.21428566
1/13/2013,14.16078827
1/14/2013,14.31797032
1/15/2013,14.31363775
1/16/2013,14.70781405
1/17/2013,15.59859974
1/18/2013,15.71579112
1/19/2013,15.5881264
1/20/2013,15.71959214
1/21/2013,16.78101952
1/22/2013,17.30017884
1/23/2013,17.53639542
1/24/2013,16.90108607
1/25/2013,17.40720203
1/26/2013,17.55362918
1/27/2013,17.86462801
1/28/2013,18.79426487
1/29/2013,19.51471419
1/30/2013,19.73744669
1/31/2013,20.51164303
02-01-2013,20.44309196
02-02-2013,19.63590171
02-03-2013,20.57893968
02-04-2013,20.44048796
02-05-2013,20.65934473
02-06-2013,21.20856553
02-07-2013,22.11776518
02-08-2013,22.78736505
02-09-2013,23.73386015
02-10-2013,23.90028936
02-11-2013,24.49727269
02-12-2013,24.97973641
2/13/2013,24.64165093
2/14/2013,27.28238982
2/15/2013,27.17126923
2/16/2013,27.34616356
2/17/2013,26.92725138
2/18/2013,26.92886764
2/19/2013,29.41362438
2/20/2013,29.81980723
2/21/2013,29.81806892
2/22/2013,30.47265653
2/23/2013,29.80645455
2/24/2013,29.88284849
2/25/2013,30.35203309
2/26/2013,31.15553735
2/27/2013,31.24026108
2/28/2013,33.37529394
03-01-2013,34.60625703
03-02-2013,34.14351592
03-03-2013,34.45174048
03-04-2013,36.37626525
03-05-2013,40.67295399
03-06-2013,43.28499619
03-07-2013,41.94744072
03-08-2013,43.90292891
03-09-2013,46.88858661
03-10-2013,46.06603846
03-11-2013,48.27507458
03-12-2013,44.41354526
3/13/2013,47.01619085
3/14/2013,46.92556255
3/15/2013,46.90251725
3/16/2013,47.1570157
3/17/2013,47.33349978
3/18/2013,51.36543639
3/19/2013,59.49860111
3/20/2013,63.6874855
3/21/2013,70.91752501
3/22/2013,69.84608454
3/23/2013,64.38311637
3/24/2013,71.69042421
3/25/2013,74.31408925
3/26/2013,78.61419743
3/27/2013,88.85207991
3/28/2013,87.67317396
3/29/2013,90.29569936
3/30/2013,92.18995999
3/31/2013,93.89923842
04-01-2013,103.5803469
04-02-2013,116.6799442
04-03-2013,131.3848094
04-04-2013,133.0071205
04-05-2013,142.6260655
04-06-2013,143.081823
04-07-2013,162.8522146
04-08-2013,186.3511618
04-09-2013,230.6829967
04-10-2013,161.1928897
04-11-2013,82.90158504
04-12-2013,111.4763732
4/13/2013,97.60907187
4/14/2013,88.8614914
4/15/2013,80.87469317
4/16/2013,68.28313873
4/17/2013,92.86403691
4/18/2013,108.6283451
4/19/2013,119.0122832
4/20/2013,128.2082889
4/21/2013,118.4832438
4/22/2013,126.3142718
4/23/2013,142.1272181
4/24/2013,154.1332778
4/25/2013,141.0086593
4/26/2013,137.2096004
4/27/2013,128.2266696
4/28/2013,134.6235696
4/29/2013,143.8103782
4/30/2013,139.1296475
05-01-2013,116.113801
05-02-2013,106.3409847
05-03-2013,96.31684027
05-04-2013,112.4976364
05-05-2013,116.4887158
05-06-2013,112.1185962
05-07-2013,111.6092129
05-08-2013,113.1360619
05-09-2013,111.9745327
05-10-2013,117.6910369
05-11-2013,115.4997777
05-12-2013,114.8856756
5/13/2013,117.4044566
5/14/2013,107.8655666
5/15/2013,108.9868524
5/16/2013,112.9178741
5/17/2013,117.284616
5/18/2013,118.1698767
5/19/2013,117.0338802
5/20/2013,117.8186365
5/21/2013,117.2520409
5/22/2013,118.9781736
5/23/2013,123.726156
5/24/2013,128.9710807
5/25/2013,128.8449153
5/26/2013,130.1586011
5/27/2013,126.3929059
5/28/2013,125.9045953
5/29/2013,129.5648124
5/30/2013,126.5130684
5/31/2013,127.8164889
06-01-2013,128.7911511
06-02-2013,122.6267089
06-03-2013,122.9491879
06-04-2013,120.1899687
06-05-2013,120.8699238
06-06-2013,119.0539757
06-07-2013,110.1977314
06-08-2013,109.1785453
06-09-2013,99.90360345
06-10-2013,104.3575666
06-11-2013,107.5075205
06-12-2013,106.3781163
6/13/2013,101.3238977
6/14/2013,99.2132443
6/15/2013,99.87503741
6/16/2013,99.03835126
6/17/2013,100.1263051
6/18/2013,104.2891764
6/19/2013,104.4171508
6/20/2013,104.3234997
6/21/2013,101.4168574
6/22/2013,100.0395085
6/23/2013,100.3147446
6/24/2013,99.04568323
6/25/2013,97.83278872
6/26/2013,98.65170076
6/27/2013,96.8039496
6/28/2013,89.42450672
6/29/2013,88.79729106
6/30/2013,89.48090766
07-01-2013,82.86757013
07-02-2013,87.81646669
07-03-2013,77.6913308
07-04-2013,79.13487084
07-05-2013,67.44762385
07-06-2013,66.34168089
07-07-2013,72.10952237
07-08-2013,73.98855377
07-09-2013,74.89191087
07-10-2013,85.01367914
07-11-2013,87.49754939
07-12-2013,90.04669871
