No,CP,HighVTL20days,Cycle20,LowVTL20days,HighVTL80days,Cycle80,LowVTL80days,HighVTL360days,Cycle320,LowVTL360days,20 Day FLD
155,0.2401,0.183049833,  ,0.194231361,NA,  ,0.221426334,NA,  ,NA,0.220521095
156,0.267,0.177981636,HIGH*,0.193655327,NA,  ,0.223569798,NA,  ,NA,0.224236093
157,0.241436002,0.172913439,LOW*,0.193079294,NA,  ,0.225713262,NA,  ,NA,0.228832093
158,0.25,0.167845242,  ,0.192503261,NA,  ,0.227856726,NA,  ,NA,0.229755636
159,0.249970128,0.162777045,  ,0.191927227,NA,  ,0.23000019,NA,  ,NA,0.229975636
160,0.248,0.157708849,  ,0.191351194,NA,  ,0.232143654,NA,  ,NA,0.233986466
161,0.2499,0.152640652,  ,0.190775161,NA,  ,0.234287118,NA,  ,NA,0.240286466
162,0.264962127,0.147572455,  ,0.190199127,NA,  ,0.236430581,NA,  ,NA,0.241630067
163,0.264785389,0.142504258,  ,0.189623094,NA,  ,0.238574045,NA,  ,NA,0.244644705
164,0.281,0.137436061,  ,0.189047061,NA,  ,0.240717509,NA,  ,NA,0.246881195
165,0.3,0.132367864,  ,0.188471027,NA,  ,0.242860973,NA,  ,NA,0.247012195
166,0.3,0.127299667,  ,0.187894994,NA,  ,0.245004437,NA,  ,NA,0.248002195
167,0.3,0.12223147,  ,0.187318961,NA,  ,0.247147901,NA,  ,NA,0.249502407
168,0.3,0.117163273,  ,0.186742927,NA,  ,0.249291365,NA,  ,NA,0.251715365
169,0.29997,0.112095076,  ,0.186166894,NA,  ,0.251434829,NA,  ,NA,0.255715365
170,0.295,0.107026879,  ,0.185590861,NA,  ,0.253578293,NA,  ,NA,0.261705365
171,0.29895,0.101958682,  ,0.185014827,NA,  ,0.255721757,NA,  ,NA,0.265005365
172,0.298916302,0.096890485,  ,0.184438794,NA,  ,0.257865221,NA,  ,NA,0.270861764
173,0.298,0.091822288,  ,0.183862761,NA,  ,0.260008685,NA,  ,NA,0.275861764
174,0.32,0.086754091,  ,0.183286727,NA,  ,0.262152149,NA,  ,NA,0.280861752
175,0.3229,0.081685894,  ,0.182710694,NA,  ,0.264295613,NA,  ,NA,0.285561752
176,0.323,0.076617697,  ,0.182134661,NA,  ,0.266439077,NA,  ,NA,0.290466752
177,0.32659,0.0715495,  ,0.181558627,NA,  ,0.268582541,NA,  ,NA,0.293862169
178,0.32659,0.066481303,  ,0.180982594,NA,  ,0.270726005,NA,  ,NA,0.29718363
179,0.318799621,0.061413106,  ,0.180406561,NA,  ,0.272869469,NA,  ,NA,0.30108363
180,0.3176,0.056344909,  ,0.179830527,NA,  ,0.275012933,NA,  ,NA,0.30337363
181,0.399990006,0.051276712,HIGH*,0.179254494,NA,  ,0.277156397,NA,  ,NA,0.30567363
182,0.386,0.046208515,  ,0.178678461,NA,  ,0.279299861,NA,  ,NA,0.30833263
183,0.38679,0.041140318,  ,0.178102427,NA,  ,0.281443325,NA,  ,NA,0.31099163
184,0.3495,0.036072121,  ,0.177526394,NA,  ,0.283586789,NA,  ,NA,0.312874592
185,0.31299,0.031003924,LOW*,0.176950361,NA,  ,0.285730253,NA,  ,NA,0.315134592
186,0.31299,0.025935727,  ,0.176374327,NA,  ,0.287873717,NA,  ,NA,0.325238593
187,0.39,0.02086753,  ,0.175798294,NA,  ,0.290017181,NA,  ,NA,0.333946963
188,0.41991,0.015799333,  ,0.175222261,NA,  ,0.292160645,NA,  ,NA,0.342825963
189,0.440035529,0.010731136,  ,0.174646227,NA,  ,0.294304109,NA,  ,NA,0.345775963
190,0.4424,0.005662939,  ,0.174070194,NA,  ,0.296447573,NA,  ,NA,0.344784963
191,0.4199,0.000594742,  ,0.173494161,NA,  ,0.298591037,NA,  ,NA,0.343783963
192,0.41,-0.004473454,  ,0.172918127,NA,  ,0.300734501,NA,  ,NA,0.350124963
193,0.41508513,-0.009541651,  ,0.172342094,NA,  ,0.302877965,NA,  ,NA,0.359456963
194,0.4212,-0.014609848,  ,0.171766061,NA,  ,0.305021428,NA,  ,NA,0.371580554
195,0.444484044,-0.019678045,  ,0.171190027,NA,  ,0.307164892,NA,  ,NA,0.384060554
196,0.439,-0.024746242,  ,0.170613994,NA,  ,0.309308356,NA,  ,NA,0.386051553
197,0.477142034,-0.029814439,  ,0.170037961,NA,  ,0.31145182,NA,  ,NA,0.388451553
198,0.52513687,-0.034882636,  ,0.169461927,NA,  ,0.313595284,NA,  ,NA,0.391281066
199,0.707510117,-0.039950833,  ,0.168885894,NA,  ,0.315738748,NA,  ,NA,0.398451066
200,0.725434822,-0.04501903,HIGH*,0.168309861,NA,  ,0.317882212,NA,  ,NA,0.41160047
201,0.693898368,-0.050087227,LOW*,0.167733827,NA,  ,0.320025676,NA,  ,NA,0.42420147
202,0.810958971,-0.055155424,  ,0.167157794,NA,  ,0.32216914,NA,  ,NA,0.432915674
203,0.911671477,-0.060223621,  ,0.166581761,NA,  ,0.324312604,NA,  ,NA,0.443438361
204,0.898,-0.065291818,  ,0.166005727,NA,  ,0.326456068,NA,  ,NA,0.47018582
205,0.88942137,-0.070360015,  ,0.165429694,NA,  ,0.328599532,NA,  ,NA,0.498489302
206,0.918,-0.075428212,  ,0.164853661,NA,  ,0.330742996,NA,  ,NA,0.525889139
