"","CP","VTL20days","start_end_20","Upcross20","VTL80days","start_end_80","Upcross80","VTL360days","start_end_360","Upcross360"
"289","3.2","0.745757582482757",NA,NA,"1.62502938092857",NA,NA,NA,NA,NA
"290","3.360585704","0.742125676758619",NA,NA,"1.63194490114285",NA,NA,NA,NA,NA
"291","3.408673047","0.738493771034481",NA,NA,"1.63886042135714",NA,NA,NA,NA,NA
"292","3.343736684","0.734861865310343",NA,NA,"1.64577594157142",NA,NA,NA,NA,NA
"293","3.455075584","0.731229959586206",NA,NA,"1.65269146178571",NA,NA,NA,NA,NA
"294","3.641262978","0.727598053862068",NA,NA,"1.65960698199999",NA,NA,NA,NA,NA
"295","3.848668377","0.72396614813793",NA,NA,"1.66652250221428",NA,NA,NA,NA,NA
"296","3.804089582","0.720334242413792",NA,NA,"1.67343802242857",NA,NA,NA,NA,NA
"297","5.651667002","0.716702336689654",NA,NA,"1.68035354264285",NA,NA,NA,NA,NA
"298","5.439751044","0.713070430965516",NA,NA,"1.68726906285714",NA,NA,NA,NA,NA
"299","6.334878694","0.709438525241378",NA,NA,"1.69418458307142",NA,NA,NA,NA,NA
"300","8.139034867","0.70580661951724",NA,NA,"1.70110010328571",NA,NA,NA,NA,NA
"301","7.007243829","0.702174713793102",NA,NA,"1.70801562349999",NA,NA,NA,NA,NA
"302","6.924924845","0.698542808068964",NA,NA,"1.71493114371428",NA,NA,NA,NA,NA
"303","7.885140745","0.694910902344826",NA,NA,"1.72184666392857",NA,NA,NA,NA,NA
"304","7.257199541","0.691278996620688",NA,NA,"1.72876218414285",NA,NA,NA,NA,NA
"305","6.763163362","0.68764709089655",NA,NA,"1.73567770435714",NA,NA,NA,NA,NA
"306","6.890143632","0.684015185172412",NA,NA,"1.74259322457142",NA,NA,NA,NA,NA
"307","5.618096219","0.680383279448274",NA,NA,"1.74950874478571",NA,NA,NA,NA,NA
"308","6.084800667","0.676751373724136",NA,NA,"1.75642426499999",NA,NA,NA,NA,NA
"309","6.71195604","0.673119467999998",NA,NA,"1.76333978521428",NA,NA,NA,NA,NA
