"","CP","VTL20days","VTL80days","VTL360days"
"469",3.569188969,1.5696670355641,91.4719129136362,NA
"470",3.257403723,1.50490826782051,92.0199283870908,NA
"471",3.265098213,1.44014950007692,92.5679438605453,NA
"472",3.171007743,1.37539073233333,93.1159593339999,NA
"473",3.255800567,1.31063196458974,93.6639748074544,NA
"474",3.168316385,1.24587319684615,94.2119902809089,NA
"475",3.120118172,1.18111442910256,94.7600057543635,NA
"476",2.977817598,1.11635566135897,95.308021227818,NA
"477",2.962720577,1.05159689361538,95.8560367012726,NA
"478",3.017757687,0.986838125871795,96.4040521747271,NA
"479",3.056567111,0.922079358128205,96.9520676481817,NA
"480",2.919567224,0.857320590384615,97.5000831216362,NA
"481",2.856702085,0.792561822641025,98.0480985950907,NA
"482",3.067861733,0.727803054897436,98.5961140685453,NA
"483",3.025522996,0.663044287153846,99.1441295419998,NA
"484",2.986373303,0.598285519410256,99.6921450154544,NA
"485",2.224224464,0.533526751666666,100.240160488909,NA
"486",2.322384116,0.468767983923076,100.788175962363,NA
"487",2.546780931,0.404009216179487,101.336191435818,NA
"488",2.279095836,0.339250448435897,101.884206909273,NA
"489",2.105066003,2.105066003,2.105066003,NA
"490",2.203456722,2.10132637933333,2.10132637933333,NA
"491",2.20198951,2.09758675566667,2.09758675566667,NA
"492",2.279879165,2.093847132,2.093847132,NA
"493",2.322458596,2.09010750833333,2.09010750833333,NA
"494",2.330323568,2.08636788466667,2.08636788466667,NA
"495",2.438879,2.082628261,2.082628261,NA
"496",2.496161003,2.07888863733333,2.07888863733333,NA
"497",2.471799969,2.07514901366667,2.07514901366667,NA
"498",2.477564951,2.07140939,2.07140939,NA
"499",2.541240252,2.06766976633333,2.06766976633333,NA
"500",2.757698483,2.06393014266667,2.06393014266667,NA
"501",2.966041546,2.060190519,2.060190519,NA
"502",3.08258945,2.05645089533333,2.05645089533333,NA
"503",3.100402333,2.05271127166667,2.05271127166667,NA
"504",2.803856185,2.048971648,2.048971648,NA
"505",2.819693976,2.04523202433333,2.04523202433333,NA
"506",2.874796227,2.04149240066667,2.04149240066667,NA
"507",3.025360451,2.037752777,2.037752777,NA
"508",2.985502421,2.03401315333333,2.03401315333333,NA
"509",2.991880483,2.03027352966667,2.03027352966667,NA
"510",2.955791952,2.026533906,2.026533906,NA
"511",3.068975267,2.02279428233333,2.02279428233333,NA
"512",3.249268847,2.01905465866667,2.01905465866667,NA
"513",3.187335357,2.015315035,2.015315035,NA
"514",3.241088409,2.01157541133333,2.01157541133333,NA
"515",3.155086504,2.00783578766667,2.00783578766667,NA
"516",3.203138541,2.004096164,2.004096164,NA
"517",3.209137777,2.00035654033333,2.00035654033333,NA
"518",3.192541704,1.99661691666667,1.99661691666667,NA
"519",3.194010809,1.992877293,1.992877293,NA
"520",3.525773919,1.98913766933333,1.98913766933333,NA
"521",3.952550827,1.98539804566667,1.98539804566667,NA
"522",3.888993251,1.981658422,1.981658422,NA
"523",3.903060421,1.97791879833333,1.97791879833333,NA
"524",3.937965076,1.97417917466667,1.97417917466667,NA
"525",3.939419119,1.970439551,1.970439551,NA
"526",4.233866878,1.96669992733333,1.96669992733333,NA
"527",3.999121964,1.96296030366667,1.96296030366667,NA
"528",4.095518546,1.95922068,1.95922068,NA
"529",4.207295876,1.95548105633333,1.95548105633333,NA
"530",4.173352227,1.95174143266667,1.95174143266667,NA
"531",4.31063509,1.948001809,1.948001809,NA
"532",4.714306331,1.94426218533333,1.94426218533333,NA
"533",5.294842777,1.94052256166667,1.94052256166667,NA
"534",5.204877892,1.936782938,1.936782938,NA
"535",4.870508829,1.93304331433333,1.93304331433333,NA
"536",5.585706267,1.92930369066667,1.92930369066667,NA
"537",6.874000877,1.925564067,1.925564067,NA
"538",6.68331664,1.92182444333333,1.92182444333333,NA
"539",6.796227981,1.91808481966667,1.91808481966667,NA
"540",7.096650566,1.914345196,1.914345196,NA
"541",6.288538342,1.91060557233333,1.91060557233333,NA
"542",6.528474555,1.90686594866667,1.90686594866667,NA
"543",6.889127721,1.903126325,1.903126325,NA
"544",6.773564196,1.89938670133333,1.89938670133333,NA
"545",6.45436889,1.89564707766667,1.89564707766667,NA
"546",6.761727143,1.891907454,1.891907454,NA
"547",7.046922558,1.88816783033333,1.88816783033333,NA
"548",6.715607667,1.88442820666667,1.88442820666667,NA
"549",5.59962195,1.880688583,1.880688583,NA
"550",5.900231288,1.87694895933333,1.87694895933333,NA
"551",6.315706342,1.87320933566667,1.87320933566667,NA
"552",6.501491988,1.869469712,1.869469712,NA
"553",6.180568326,1.86573008833333,1.86573008833333,NA
"554",6.302967227,1.86199046466667,1.86199046466667,NA
"555",6.374876077,1.858250841,1.858250841,NA
