No,CP,Cycle20,Cycle80,Cycle320
483,3.025522996,  ,  ,  
484,2.986373303,  ,  ,  
485,2.224224464,  ,  ,  
486,2.322384116,  ,  ,  
487,2.546780931,  ,  ,  
488,2.279095836,  ,  ,  
489,2.105066003,LOW,LOW,LOW
490,2.203456722,  ,  ,  
491,2.20198951,  ,  ,  
492,2.279879165,  ,  ,  
493,2.322458596,  ,  ,  
494,2.330323568,  ,  ,  
495,2.438879,  ,  ,  
496,2.496161003,  ,  ,  
497,2.471799969,  ,  ,  
498,2.477564951,  ,  ,  
499,2.541240252,  ,  ,  
500,2.757698483,  ,  ,  
501,2.966041546,  ,  ,  
502,3.08258945,  ,  ,  
503,3.100402333,HIGH*,  ,  
504,2.803856185,LOW*,  ,  
505,2.819693976,  ,  ,  
506,2.874796227,  ,  ,  
507,3.025360451,  ,  ,  
508,2.985502421,  ,  ,  
509,2.991880483,  ,  ,  
510,2.955791952,  ,  ,  
511,3.068975267,  ,  ,  
512,3.249268847,  ,  ,  
513,3.187335357,  ,  ,  
514,3.241088409,  ,  ,  
515,3.155086504,  ,  ,  
516,3.203138541,  ,  ,  
517,3.209137777,  ,  ,  
518,3.192541704,  ,  ,  
519,3.194010809,  ,  ,  
520,3.525773919,  ,  ,  
521,3.952550827,  ,  ,  
522,3.888993251,  ,  ,  
523,3.903060421,  ,  ,  
524,3.937965076,  ,  ,  
525,3.939419119,  ,  ,  
526,4.233866878,HIGH*,  ,  
527,3.999121964,LOW*,  ,  
528,4.095518546,  ,  ,  
529,4.207295876,  ,  ,  
530,4.173352227,  ,  ,  
531,4.31063509,  ,  ,  
532,4.714306331,  ,  ,  
533,5.294842777,  ,  ,  
534,5.204877892,  ,  ,  
535,4.870508829,  ,  ,  
536,5.585706267,  ,  ,  
537,6.874000877,  ,  ,  
538,6.68331664,  ,  ,  
539,6.796227981,  ,  ,  
540,7.096650566,HIGH,HIGH,  
541,6.288538342,LOW*,  ,  
542,6.528474555,  ,  ,  
543,6.889127721,  ,  ,  
544,6.773564196,  ,  ,  
545,6.45436889,  ,  ,  
546,6.761727143,  ,  ,  
547,7.046922558,HIGH*,  ,  
548,6.715607667,  ,  ,  
549,5.59962195,  ,  ,  
550,5.900231288,  ,  ,  
551,6.315706342,  ,  ,  
552,6.501491988,  ,  ,  
553,6.180568326,  ,  ,  
554,6.302967227,  ,  ,  
555,6.374876077,  ,  ,  
556,6.274476476,  ,  ,  
557,5.810465072,  ,  ,  
558,5.367226954,  ,  ,  
559,5.303137197,LOW,  ,  
560,5.659796775,  ,  ,  
561,5.391429457,  ,  ,  
562,5.503481939,  ,  ,  
563,5.538220296,  ,  ,  
564,6.075232652,  ,  ,  
565,6.099572913,HIGH,  ,  
566,5.951610928,  ,  ,  
567,5.895413239,  ,  ,  
568,5.678115717,  ,  ,  
569,5.482664058,  ,  ,  
570,5.6620277,  ,  ,  
571,5.61852819,  ,  ,  
572,5.835699854,  ,  ,  
573,5.937834155,  ,  ,  
574,5.612132853,  ,  ,  
575,5.519097169,  ,  ,  
576,5.348354559,  ,  ,  
577,4.483654092,  ,  ,  
578,4.325520322,  ,  ,  
579,4.255239045,LOW,LOW,  
580,4.391538373,  ,  ,  
581,4.270081278,  ,  ,  
582,4.389551458,  ,  ,  
583,4.365135939,  ,  ,  
584,4.315115602,  ,  ,  
585,4.419310288,  ,  ,  
586,5.039515118,HIGH,  ,  
587,5.025608759,  ,  ,  
588,4.772567381,  ,  ,  
